Names
"Empowering Year Up United Alumni Entrepreneurs: Resources to Help You Launch, Grow, and SucceedDiscover how Year Up United is supporting alumni entrepreneurs with opportunities tailored to help you succeed. From Sky's The Limit’s free mentoring and community support to exclusive fellowships like the BMO and Truist Foundation programs, these resources are designed to provide the guidance, funding, and skill development you need. Whether you’re just getting started or looking to take your business to the next level, we’ve got you covered. Learn more about how you can take advantage of these incredible opportunities and take the leap towards your entrepreneurial dreams.Read More"
"From ACTion to Impact: Highlights from the 13th Annual National Alumni SummitThe 13th Annual National Alumni Summit brought over 200 Year Up United alumni, staff, and supporters together in San Francisco to celebrate community and impact. With the theme ""From ACTion to Impact,"" the event featured key discussions on leadership, professional development, and the role alumni play in closing the Opportunity Divide. Alumni contributed more than 500 service hours to local nonprofits and participated in sessions ranging from career growth to personal development. The Summit concluded with a powerful panel on alumni leadership, inspiring continued engagement and support through volunteering, content creation, and donations.Read More"
"Success as Taking Care of and Uplifting Others: LeeMar Kelley’s JourneySuccess isn’t just about where you end up—it’s about who you uplift along the way. Meet LeeMar Kelley, a 2018 Year Up Dallas-Fort Worth alum who’s redefining what success looks like. From serving as a Market Representative on the National Alumni Association Board (NAAB) to leading initiatives like The Men’s Dinner Group Dallas, LeeMar’s journey is all about growth and giving back to the communityRead More"
"From Passion to Profession: Yesenia's Journey at Bank of AmericaDiscover the inspiring journey of Yesenia Denisse Burgos, a Financial Solutions Advisor who turned her high school passion for community advocacy into a thriving career. Yesenia’s story showcases how determination and the right support can turn dreams into reality. Click to read more about her path from an intern to a successful advisor and learn how you too can maximize your potential with the resources available through The Academy at Bank of America.Read More"
"Ty’Relle Stephens recently joined our Founder, Gerald Chertavian as panelist in San DiegoYear Up United alumnus from Rhode IslandTy’Relle Stephensrecently joined our CEO & Founder, Gerald Chertavian as a panelist at the Arizona State University and Global Silicon Valley (ASU+GSV) Summit in San Diego.Read More"
"Sometimes, Giving Includes ReceivingThis month we are highlighting an exceptional member of the Year Up United Alumni community whose volunteer service helped her prepare for the next steps in her career. Shantae encourages other alumni to consider volunteering for board service as you never know where it might take you.Read More"
Local Alumni Engagement is HappeningAlumni across the country are getting together to promote other Alumni and Year Up United initiatives to network and simply have fun. A recent example:Jacksonville alumnihosted a “Pre-Grad Welcome Party” to celebrate new alumni joining the National Alumni Association – more than 30 alumni attended.Read More
"Going Forward Together: A Look Back at the 2022 Alumni Summit With Kiven WoodsHow often do you get the opportunity to network with other alums from across the country? We'd say not often enough. That's why this year, after being Back In Action at the National Alumni Summit (Summit) in Washington DC, we sat down with Kiven Woods-a Leader, Alum Of The Chicago Site,andfirst-time Summit attendee, to get his perspective on the experience.Read More"
"Making a Mark in History: Hill Day featuring Ansaer WumaierIn advance of the 11th Annual National Alumni Summit (Summit), which took place (September 22-24) in Washington, D.C., more than 30 alumni participated in Year Up United Capitol Hill Day (Hill Day). On September 21st, Alumni met with members of Congress and administrators to educate them about Year Up United, share their personal stories, and advocate for the Year Up United Movement.Read More"
"A Visit to The National Museum of African American History & CultureOn day two of The 11th Annual National Alumni Summit, our morning began bright and early at theNational Museum of African American History and Culturewhich hosted our group for a deeply moving and impactful private tour.Read More"
In the Spirit of ServiceRead More
"Honoring our new PresidentEllen McClain has been named the new President of Year Up United, bringing her deep executive leadership skills to guide the organization through its next phase of growth. As a champion for diversity, equity, inclusion, and belonging, Ellen is committed to creating an environment where all employees, students, and alumni are valued and respected. With a focus on expanding Year Up United's impact on employment systems, Ellen is eager to work more closely with our alumni community. Check out our blog to learn more about Ellen's vision for Year Up United.Read More"
